問い合わせ番号,ステータス,発注機関,機関タイプ,発注地域,件名,フェーズ,サブカテゴリ,年度,入札種別,案件登録日,入札日,開札日,落札会社名,落札金額,落札金額(数値),予定金額,応札企業,応札社数,ノイズ判定,重複除外,採用レコード
R23309362,落札結果,厚生労働省,国,奈良県,FAQチャットボットサービス導入業務委託,④構築,チャットボット,,,,,2023-12-21,奈良OAシステム株式会社,1540000,1540000,1540000,,,,,○
N17745676,入札中,独立行政法人日本学生支援機構,独法,東京都,独立行政法人日本学生支援機構生成AIサービスの提供業務,④構築,生成AI（その他）,FY2023,競争・公募,2023-12-20,2024-01-24,,,,,,,,,,○
R23234679,落札結果,最高裁判所,国,東京都,裁判所ウェブサイトのＡＩチャットボットの検証環境提供及び調査支援 一式,③PoC,,,,,,2023-12-20,株式会社スカラコミュニケーションズ,10971950,10971950,18656000,,,,,○
N17742287,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2023,競争・公募,2023-12-19,,,,,,,,,,,○
R23898561,落札結果,防衛省,,埼玉県,Oragene・Discover外2品目,,,,,,,2023-12-19,株式会社池田理化,4297040,4297040,,,,ノイズ,,
R23081665,落札結果,独立行政法人新エネルギー・産業技術総合開発機構,独法,神奈川県,ポスト5G情報通信システム基盤強化研究開発事業／生成AI基盤モデルの開発のあり方に関する調査,④構築,生成AI（その他）,,,,,2023-12-19,ボストン・コンサルティング・グループ合同会社,,,,,,,,○
R22997429,落札結果,和歌山県,都道府県,和歌山県,西閲覧１２月②　物品販売１　保護フィルム　ＧＲＡＭＡＳ　Ｅｘｔｒａ　Ｇｌａｓｓ　ＤＣＧ-ＲＣ０２　ＧＲⅢ用　1個,④構築,AI（その他）,,,,,2023-12-19,有限会社金與,2300,2300,,,,,,○
R23250339,落札結果,独立行政法人宇宙航空研究開発機構,独法,東京都,戦略的国際共同ミッションDragonfly地震計フライトモデルの製作,④構築,RAG構築,,,,,2023-12-18,株式会社トーワ,,,,,,,,○
R23446392,落札結果,独立行政法人国際協力機構,独法,東京都,Insurance coverage for JICA Palestine office vehicles in Israel for the period (01/01/2024 -31/12/2024)， Compulsory and Third Party.,④構築,RAG構築,,,,,2023-12-16,Deek Insurance Company （Harel Insurance ）,1482356,1482356,,,,,,○
N17729915,入札中,その他,,全国,【米軍案件】VALVE、DIAPHRAGM、STO,,,,競争・公募,2023-12-15,,,,,,,,,ノイズ,,
R23219418,落札結果,千葉県,都道府県,千葉県,千葉県生成AI利用サービス提供業務,④構築,生成AIサービス導入,,,,,2023-12-15,東日本電信電話株式会社,2998598,2998598,2998600,,,,,○
N17724333,入札中,その他,,全国,【米軍案件】VALVE、DIAPHRAGM、STO,,,,競争・公募,2023-12-14,,,,,,,,,ノイズ,,
N17721504,入札中,独立行政法人日本学生支援機構,独法,東京都,日本学生支援機構学校担当者用ホームページAIチャットボットサービス導入,④構築,チャットボット,FY2023,競争・公募,2023-12-14,2024-02-09,,,,,,,,,,○
R22974845,落札結果,和歌山県,,和歌山県,閲覧表１２月ー３　薬品　gBlocks Gene Fragments 125-500 bp　Integrated DNA Technologies　容量：250 ngrams　仕様書参照　1個,,,,,,,2023-12-14,八洲薬品株式会社　和歌山営業所,12360,12360,,,,ノイズ,,
N17717310,入札中,国土交通省/那覇空港事務所,その他,沖縄県,令和５年度那覇空港ＲＡＧ空港用ＩＴＶ装置定期点検作業,④構築,AI（その他）,FY2023,競争・公募,2023-12-13,2024-01-26,,,,,,,,,,○
N17716897,入札中,独立行政法人産業技術総合研究所/つくばセンター,独法,茨城県,材料データ生成AI研究開発用サーバー,④構築,生成AI（その他）,FY2023,競争・公募,2023-12-13,2023-12-28,,,,,,,,,,○
R24593037,落札結果,独立行政法人国立高等専門学校機構,独法,福岡県,ChatGPTとメタバースを活用したLSI設計および半導体教育環境一式,④構築,AI（その他）,,,,,2023-12-13,株式会社ユニットコム九州支店,7810000,7810000,,,,,,○
R23092596,落札結果,和歌山県,都道府県,和歌山県,和歌山県立医科大学AIチャットボットシステム導入及び保守運用業務,⑤運用,,,,,,2023-12-13,不調,,,,,,,,○
R23471324,落札結果,防衛省,,埼玉県,ＵＬＴＲＡＧＥＬ,,,,,,,2023-12-12,株式会社クロサカ,48500,48500,,,,ノイズ,,
N17702709,入札中,独立行政法人住宅金融支援機構,独法,東京都,生成ＡＩサービス（ChatGPT）の利用,④構築,生成AI（その他）,FY2023,競争・公募,2023-12-11,2023-12-21,,,,,,,,,,○
R23194868,落札結果,独立行政法人新エネルギー・産業技術総合開発機構,独法,神奈川県,ポスト５Ｇ情報通信システム基盤強化研究開発事業／ポスト５Ｇ情報通信システムの開発 （g3）競争力ある生成AI基盤モデルの開発 100B/1Tパラメータからなる大規模マルチモーダル基盤モデルの構築,④構築,生成AI（その他）,,,,,2023-12-11,株式会社 Preferred Elements,,,,,,,,○
R23194867,落札結果,独立行政法人新エネルギー・産業技術総合開発機構,独法,神奈川県,ポスト５Ｇ情報通信システム基盤強化研究開発事業／ポスト５Ｇ情報通信システムの開発 （g3）競争力ある生成AI基盤モデルの開発 多様な日本語能力の向上を目指した公開型の基盤モデル開発,④構築,生成AI（その他）,,,,,2023-12-11,国立大学法人東京大学,,,,,,,,○
R23194866,落札結果,独立行政法人新エネルギー・産業技術総合開発機構,独法,神奈川県,ポスト５Ｇ情報通信システム基盤強化研究開発事業／ポスト５Ｇ情報通信システムの開発 （g3）競争力ある生成AI基盤モデルの開発 完全自動運転に向けたマルチモーダル基盤モデルの開発,④構築,生成AI（その他）,,,,,2023-12-11,Turing株式会社,,,,,,,,○
R23194865,落札結果,独立行政法人新エネルギー・産業技術総合開発機構,独法,神奈川県,ポスト５Ｇ情報通信システム基盤強化研究開発事業／ポスト５Ｇ情報通信システムの開発 （g3）競争力ある生成AI基盤モデルの開発 厳密さが要求されるビジネス用途におけるハルシネーションを大幅抑止した基盤モデル,④構築,生成AI（その他）,,,,,2023-12-11,ストックマーク株式会社,,,,,,,,○
R23194864,落札結果,独立行政法人新エネルギー・産業技術総合開発機構,独法,神奈川県,ポスト５Ｇ情報通信システム基盤強化研究開発事業／ポスト５Ｇ情報通信システムの開発 （g3）競争力ある生成AI基盤モデルの開発 オープンかつ日本語に強いGPT-3級大規模言語モデルの構築,④構築,生成AI（その他）,,,,,2023-12-11,大学共同利用機関法人情報・システム研究機構,,,,,,,,○
R23194863,落札結果,独立行政法人新エネルギー・産業技術総合開発機構,独法,神奈川県,ポスト５Ｇ情報通信システム基盤強化研究開発事業／ポスト５Ｇ情報通信システムの開発 （g3）競争力ある生成AI基盤モデルの開発 自律型エージェントシステム向け高効率基盤モデルの開発,④構築,生成AI（その他）,,,,,2023-12-11,Sakana AI株式会社,,,,,,,,○
R23194862,落札結果,独立行政法人新エネルギー・産業技術総合開発機構,独法,神奈川県,ポスト５Ｇ情報通信システム基盤強化研究開発事業／ポスト５Ｇ情報通信システムの開発 （g3）競争力ある生成AI基盤モデルの開発 LLMの社会実装に向けた特化型モデルの元となる汎化的LLMに関する研究開発,④構築,生成AI（その他）,,,,,2023-12-11,株式会社ABEJA,,,,,,,,○
N17700400,入札中,日本郵政グループ/株式会社ゆうちょ銀行,その他,東京都,窓口タブレットシステムの機能追加（生成AI及びAI-OCR）に向けた実証実験の実施,③PoC,,FY2023,随意,2023-12-08,2023-12-29,,,,,,,,,,○
N17699217,入札中,その他,その他,全国,【米軍案件】CHEST、 STORAGE,④構築,RAG構築,FY2023,競争・公募,2023-12-08,,,,,,,,,,,○
N17693691,入札中,その他,その他,全国,【米軍案件】Storage System,④構築,RAG構築,FY2023,競争・公募,2023-12-07,,,,,,,,,,,○
R23048879,落札結果,国土交通省,,鹿児島県,令和５年度　鹿児島空港RAG空港用ITV装置定期点検作業,,,,,,,2023-12-07,株式会社サンネクト　関西支店,3740000,3740000,3760170,,,ノイズ,,
N17687971,入札中,その他,その他,全国,【米軍案件】STORAGE SERVER COMP,④構築,RAG構築,FY2023,競争・公募,2023-12-06,,,,,,,,,,,○
R23446283,落札結果,独立行政法人国際協力機構,独法,東京都,Budjet approval for the purchase of ten digital pasturometers (forage measuring plate) for the SATREPS Project for Creation of Beef Value Chain by Optimizing Ruminal Micriobiota and Grassland Management on Digital Platform.,④構築,RAG構築,,,,,2023-12-06,J.S.AGRINNOVA S.A.S,2214710,2214710,,,,,,○
R23310233,落札結果,国土交通省,,北海道,新千歳空港事務所RAG空港用ITV装置定期点検作業,,,,,,,2023-12-06,株式会社サンネクト,8800000,8800000,9080578,,,ノイズ,,
N17682257,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2023,競争・公募,2023-12-05,,,,,,,,,,,○
R23206341,落札結果,防衛省,,千葉県,（輸入）航空機部品（機器修理用）ＤＩＡＰＨＲＡＧＭ ＡＳＳＹ27個（台）,,,,,,,2023-12-05,伊藤忠アビエーション株式会社,68024000,68024000,68043800,,,ノイズ,,
N17677452,入札中,独立行政法人産業技術総合研究所,独法,"茨城県,千葉県",生成ＡＩの開発力強化に資する計算資源の増強（熱源設備）,④構築,生成AI（その他）,FY2023,競争・公募,2023-12-04,2024-01-17,,,,,,,,,,○
N17670454,入札中,独立行政法人量子科学技術研究開発機構,独法,千葉県,（RE-16481）CSP Office 365 Extra File Storageの利用,④構築,RAG構築,FY2023,競争・公募,2023-12-01,2023-12-22,,,,,,,,,,○
N17669960,入札中,独立行政法人産業技術総合研究所,独法,茨城県,生成ＡＩの開発力強化に資する計算資源の増強（受変電設備）,④構築,生成AI（その他）,FY2023,競争・公募,2023-12-01,2024-01-16,,,,,,,,,,○
N17669959,入札中,独立行政法人産業技術総合研究所/つくばセンター,独法,茨城県,DX推進に向けた大規模言語モデルのプロンプトエンジニアリングに関するオンライン研修,①研修,,FY2023,競争・公募,2023-12-01,2023-12-25,,,,,,,,,,○
R23328554,落札結果,デジタル庁,国,東京都,行政における生成AIの適切な利活用に向けた技術検証の環境整備,③PoC,,,,,,2023-12-01,株式会社FIXER,219120000,219120000,219120000,,,,,○
R23206478,落札結果,デジタル庁,国,東京都,行政における生成AIの適切な利活用に向けた技術検証の環境整備,③PoC,,,,,,2023-12-01,株式会社FIXER,219120000,219120000,219120000,,,,,○
R23188557,落札結果,デジタル庁,国,東京都,行政における生成ＡＩの適切な利活用に向けた技術検証の環境整備 一式,③PoC,,,,,,2023-12-01,株式会社ＦＩＸＥＲ,219120000,219120000,,,,,,○
N17660470,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2023,競争・公募,2023-11-30,,,,,,,,,,,○
N17660465,入札中,その他,その他,全国,【米軍案件】Modify Valve Test Stand,④構築,AI（その他）,FY2023,競争・公募,2023-11-30,,,,,,,,,,,○
N17659244,入札中,国土交通省/大阪空港事務所,その他,"石川県,大阪府,鳥取県",令和５年度大阪国際空港ＲＡＧ空港用ＩＴＶ装置定期点検作業,④構築,AI（その他）,FY2023,競争・公募,2023-11-30,2023-12-22,,,,,,,,,,○
R23110381,落札結果,日本政策金融公庫,その他,東京都,事業ローンチャットボットの導入(一式),④構築,チャットボット,,,,,2023-11-30,株式会社オプテージ,3630000,3630000,3630000,,,,,○
R23098053,落札結果,独立行政法人都市再生機構,独法,神奈川県,ＵＲ賃貸住宅募集等業務におけるチャットボットの導入検討業務,④構築,チャットボット,,,,,2023-11-30,株式会社電通,6600000,6600000,6977740,,,,,○
N17651756,入札中,厚生労働省/奈良労働局,その他,奈良県,FAQ チャットボットサービス導入業務委託,④構築,チャットボット,FY2023,競争・公募,2023-11-29,2023-12-19,,,,,,,,,,○
R22893164,落札結果,東京23区/葛飾区,市区町村,東京都,「葛飾区生成AI利用環境構築委託」及び「葛飾区生成AI利用環境提供及び運用保守委託」【葛飾区】,⑤運用,,,,,,2023-11-29,エヌ・ティ・ティ・アドバンステクノロジ株式会社,25300000,25300000,25534290,"{応札企業名＝エヌ・ティ・ティ・アドバンステクノロジ株式会社、応札結果・備考＝、応札金額＝25300000},{応札企業名＝株式会社野村総合研究所、応札結果・備考＝辞退、応札金額＝},{応札企業名＝日本電気株式会社 首都圏支社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社日立システムズ、応札結果・備考＝辞退、応札金額＝},{応札企業名＝富士ソフト株式会社 秋葉原オフィス、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社大塚商会 LA事業部公共グループ、応札結果・備考＝辞退、応札金額＝},{応札企業名＝ソフトバンク株式会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝ＫＤＤＩ株式会社 ソリューション事業本部ビジネスデザイン本部官公庁営業部、応札結果・備考＝不参、応札金額＝}",24,,,○
N17647383,入札中,独立行政法人産業技術総合研究所,独法,茨城県,生成ＡＩの開発力強化に資する計算資源の増強（サーバー冷却フレーム）,④構築,生成AI（その他）,FY2023,競争・公募,2023-11-28,2024-01-09,,,,,,,,,,○
R22994252,落札結果,千葉県,都道府県,千葉県,令和5年度千葉県生成AI利用サービス提供業務,④構築,生成AIサービス導入,,,,,2023-11-28,東日本電信電話株式会社,,,,,,,,○
N17644333,入札中,和歌山県,都道府県,和歌山県,和歌山県立医科大学AIチャットボットシステム導入及び保守運用業務,⑤運用,,FY2023,競争・公募,2023-11-27,2023-12-13,,,,,,,,,,○
N17641603,入札中,国土交通省/福岡空港事務所,,"福岡県,佐賀県,長崎県",令和5年度福岡空港RAG空港用ITV装置定期点検整備（再公告）,,,,競争・公募,2023-11-27,2023-12-26,,,,,,,,ノイズ,,
N17641250,入札中,岐阜県市町村/岐阜市,市区町村,岐阜県,番号290　小川製作所製　Aragoローラー　タイプC　3台【岐阜市】,④構築,RAG構築,FY2023,競争・公募,2023-11-27,2023-12-01,,,,,,,,,,○
N17641001,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2023,競争・公募,2023-11-27,,,,,,,,,,,○
N17640997,入札中,その他,その他,全国,【米軍案件】STORAGE UNIT,④構築,RAG構築,FY2023,競争・公募,2023-11-27,,,,,,,,,,,○
R23446358,落札結果,独立行政法人国際協力機構,独法,東京都,(PAMA) Accommodation for 13 participants of Promotional for Agriculture mechanization in Africa - Moshi. (25/Nov-6/Dec),④構築,AI（その他）,,,,,2023-11-24,Moshi Resort Limited,1816188,1816188,,,,,,○
R23206277,落札結果,防衛省,,神奈川県,各種弁及びこし器部品 外 ＤＩＡＰＨＲＡＧＭ，ＶＡＬＶＥ，ＦＬＡＴ 外20件,,,,,,,2023-11-24,株式会社三協製作所,7049900,7049900,7065300,,,ノイズ,,
R22876554,落札結果,愛知県,都道府県,愛知県,生成ＡＩを活用したサービスライセンス一式,⑤運用,,,,,,2023-11-24,テルウェル西日本株式会社　＿,419360,419360,,"{応札企業名＝テルウェル西日本株式会社　＿、応札結果・備考＝落札、応札金額＝419360},{応札企業名＝エヌ・ティ・ティ・コミュニケーションズ株式会社　東海支社、応札結果・備考＝、応札金額＝670000}",6,,,○
R23170590,落札結果,独立行政法人国際交流基金,独法,東京都,Microsoft Office 365 Extra File Storage（NCE）購入契約,④構築,RAG構築,,,,,2023-11-22,日本アクセス株式会社,1980000,1980000,,,,,,○
R23110378,落札結果,日本政策金融公庫,その他,東京都,業務照会チャットボット及びサービスデスクチャットボットの後継製品への更改（開発）(一式),④構築,チャットボット,,,,,2023-11-22,株式会社NTTデータ,24579500,24579500,24579500,,,,,○
R23086851,落札結果,日本政策金融公庫,その他,東京都,業務照会チャットボット及びサービスデスクチャットボットの後継製品への更改　一式,④構築,チャットボット,,,,,2023-11-22,株式会社ＮＴＴデータ,36367100,36367100,,,,,,○
R23001952,落札結果,山梨県,都道府県,山梨県,生成 AI 独自データベース評価環境構築業務委託,④構築,AI（その他）,,,,,2023-11-22,アビームコンサルティング株式会社,19800000,19800000,,,,,,○
R22937365,落札結果,群馬県,都道府県,群馬県,生成AI環境整備業務,④構築,生成AI（その他）,,,,,2023-11-22,Topaz合同会社,,,,,,,,○
N17624064,入札中,デジタル庁,国,東京都,国・地方共通相談チャットボットの設計・開発等,④構築,チャットボット,FY2023,競争・公募,2023-11-21,2023-12-15,,,,,,,,,,○
N17616555,入札中,防衛省/防衛医科大学校,,埼玉県,Oragene･Discover 外2品目,,,,競争・公募,2023-11-20,2023-12-19,,,,,,,,ノイズ,,
R23108635,落札結果,独立行政法人海洋研究開発機構,独法,神奈川県,AIチャットボットを採用したFAQサービスの更新,④構築,チャットボット,,,,,2023-11-17,株式会社ユーザーローカル,1980000,1980000,,,,,,○
R23955865,落札結果,その他大阪府市町村/豊中市,市区町村,大阪府,豊中市公式ホームページチャットボットバナー表示導入業務【豊中市】,④構築,チャットボット,,,,,2023-11-16,株式会社日立社会情報サービス,799425,799425,,,,,,○
R23081642,落札結果,独立行政法人新エネルギー・産業技術総合開発機構,独法,神奈川県,「量子・AIハイブリッド技術のサイバー・フィジカル開発事業」量子生成ＡＩによる半導体製造用新材料開発,④構築,生成AI（その他）,,,,,2023-11-16,日本電気株式会社　（共同実施先）：国立研究開発法人産業技術総合研究所,,,,,,,,○
N17600213,入札中,国土交通省/那覇空港事務所,その他,沖縄県,令和５年度那覇空港ＲＡＧ空港用ＩＴＶ装置定期点検作業,④構築,AI（その他）,FY2023,競争・公募,2023-11-15,2024-01-09,,,,,,,,,,○
N17598884,入札中,独立行政法人国立高等専門学校機構/有明工業高等専門学校,独法,福岡県,ChatGPT とメタバースを活用した LSI 設計および半導体教育環境 一式,④構築,AI（その他）,FY2023,競争・公募,2023-11-15,2023-12-13,,,,,,,,,,○
N17594699,入札中,国税庁,国,東京都,生成AIを活用した各種FAQの新規作成・整理に係る検証業務,③PoC,,FY2023,競争・公募,2023-11-14,2023-12-19,,,,,,,,,,○
N17588603,入札中,経済産業省,国,東京都,生成AI基盤モデルの開発支援に向けた公募を開始しました,④構築,生成AI（その他）,FY2023,競争・公募,2023-11-13,2023-12-11,,,,,,,,,,○
N17583616,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2023,競争・公募,2023-11-10,,,,,,,,,,,○
N17583510,入札中,愛知県,都道府県,愛知県,生成ＡＩを活用したサービスライセンス一式,⑤運用,,FY2023,競争・公募,2023-11-10,2023-11-24,,,,,,,,,,○
R23109093,落札結果,独立行政法人情報処理推進機構,独法,東京都,演習用セキュリティ機器(Dragos)導入支援業務,④構築,RAG構築,,,,,2023-11-10,株式会社マクニカ,7810000,7810000,7810000,,,,,○
R22836849,落札結果,その他兵庫県市町村/尼崎市,市区町村,兵庫県,水道チャットボット構築業務委託【尼崎市】,④構築,チャットボット,,,,,2023-11-09,株式会社　SHIFT,,,,,,,,○
N17574388,入札中,東京都,都道府県,東京都,令和５年度「外国企業誘致に係るAIチャットボット」利用状況分析及び改善提案委託（その２）,④構築,チャットボット,FY2023,競争・公募,2023-11-08,2023-12-22,,,,,,,,,,○
N17572031,入札中,国土交通省/大阪空港事務所,その他,"石川県,大阪府,鳥取県,島根県",令和５年度大阪国際空港ＲＡＧ空港用ＩＴＶ装置定期点検作業,④構築,AI（その他）,FY2023,競争・公募,2023-11-08,2023-12-11,,,,,,,,,,○
N17565026,入札中,千葉県,都道府県,千葉県,令和５年度千葉県生成AI利用サービス提供業務,④構築,生成AIサービス導入,FY2023,競争・公募,2023-11-07,2023-11-20,,,,,,,,,,○
N17562445,入札中,国土交通省/新千歳空港事務所,その他,北海道,新千歳空港事務所ＲＡＧ空港用ＩＴＶ装置定期点検作業,④構築,AI（その他）,FY2023,競争・公募,2023-11-06,2023-12-06,,,,,,,,,,○
N17559154,入札中,島根県,都道府県,島根県,【情報システム推進課】島根県庁内向けAIチャットボット導入・活用支援業務,④構築,チャットボット,FY2023,競争・公募,2023-11-06,2023-11-29,,,,,,,,,,○
N17558734,入札中,国土交通省/福岡空港事務所,,"福岡県,佐賀県,長崎県",令和5年度福岡空港RAG空港用ITV装置定期点検整備,,,,競争・公募,2023-11-06,2023-12-12,,,,,,,,ノイズ,,
R23064599,落札結果,国土交通省,国,香川県,令和５年度　チャットボットサービス導入作業,④構築,チャットボット,,,,,2023-11-06,ＴＯＰＰＡＮ株式会社,1958000,1958000,2145000,,,,,○
R22815084,落札結果,東京都,都道府県,東京都,チャットボットの拡張及び運用保守業務委託（その３）,⑤運用,,,,,,2023-11-06,富士通Ｊａｐａｎ株式会社,3410880,3410880,,{応札企業名＝富士通Ｊａｐａｎ株式会社、応札結果・備考＝、応札金額＝3100800},3,,,○
N17555041,入札中,群馬県,都道府県,群馬県,生成AI利用環境整備業務,④構築,生成AIサービス導入,FY2023,競争・公募,2023-11-02,2023-11-17,,,,,,,,,,○
N17545726,入札中,防衛省/航空自衛隊/第4補給処,,埼玉県,ＵＬＴＲＡＧＥＬ,,,,競争・公募,2023-11-01,2023-12-12,,,,,,,,ノイズ,,
N17545608,入札中,国土交通省/鹿児島空港事務所,,鹿児島県,令和５年度　鹿児島空港RAG空港用ITV装置定期点検作業,,,,競争・公募,2023-11-01,2023-12-07,,,,,,,,ノイズ,,
R23471543,落札結果,防衛省,,埼玉県,ＴＡＮＫ，ＳＴＯＲＡＧＥ，ＬＩＱＵＩＤ ＡＲＧＯＮ ＮＩＴＲＯＧＥＮ ＯＸＹＧＥＮ 修理1EA,,,,,,,2023-11-01,エア・ウォーター東日本株式会社,1520200,1520200,,,,ノイズ,,
R23062882,落札結果,防衛省,,神奈川県,米国主催固定翼哨戒機共同訓練（ＳＥＡ　ＤＲＡＧＯＮ２０２４）参加における宿泊及び食事等1式,,,,,,,2023-11-01,ブルーライン株式会社,27847980,27847980,31534103,,,ノイズ,,
N17536253,入札中,国立大学法人/北海道大学,都道府県,北海道,加国Object Research System社製 Dragonfly 永久ライセンス 外 一式,⑤運用,,FY2023,競争・公募,2023-10-30,2023-11-06,,,,,,,,,,○
N17533516,入札中,京都市,市区町村,京都府,ＣｈａｔＧＰＴ　ＰＬＵＳライセンス、Ｍｉｄｊｏｕｒｎｅｙ　Ｂａｓｉｃライセンス【京都市】,⑤運用,,FY2023,競争・公募,2023-10-30,2023-11-03,,,,,,,,,,○
N17528599,入札中,日本政策金融公庫,その他,東京都,事業ローンチャットボットの導入,④構築,チャットボット,FY2023,競争・公募,2023-10-27,2023-11-08,,,,,,,,,,○
N17528598,入札中,日本政策金融公庫,その他,東京都,業務照会チャットボット及びサービスデスクチャットボットの後継製品への更改,④構築,チャットボット,FY2023,競争・公募,2023-10-27,2023-11-17,,,,,,,,,,○
R23261789,落札結果,熊本市,,熊本県,図書購入費（図解ポケット 画像生成AIがよくわかる本 他40冊）【熊本市】,,,,,,,2023-10-24,蔦屋書店 熊本三年坂,92961,92961,,,,ノイズ,,
R23062533,落札結果,防衛省,,千葉県,（輸入）航空機部品（部隊整備用）ＤＩＡＰＨＲＡＧＭ26個（台）,,,,,,,2023-10-24,フォート・リーコーポレーション株式会社,2290200,2290200,2360600,,,ノイズ,,
N17507082,入札中,防衛省/海上自衛隊/厚木航空基地隊,,神奈川県,米国主催固定翼哨戒機共同訓練（SEA DRAGON2024)参加における現地用通信器材の借上,,,,競争・公募,2023-10-23,2023-11-01,,,,,,,,ノイズ,,
N17505418,入札中,防衛省/海上自衛隊/厚木航空基地隊,,神奈川県,米国主催固定翼哨戒機共同訓練（ＳＥＡ　ＤＲＡＧＯＮ２０２４）参加における宿泊及び食事等,,,,競争・公募,2023-10-23,2023-11-01,,,,,,,,ノイズ,,
R23257372,落札結果,山梨県市町村/北杜市,市区町村,山梨県,北杜市AIチャットボットサービス導入及び運用・保守業務【北杜市】,⑤運用,,,,,,2023-10-20,株式会社サイネックス,,,,,,,,○
N17496135,入札中,沖縄科学技術大学院大学,,沖縄県,Diaphragm and turbo-molecular pump set　一式の購入,,,,競争・公募,2023-10-19,2023-10-26,,,,,,,,ノイズ,,
N17488870,入札中,その他,その他,全国,【米軍案件】DIGITAL STORAGE UNI,④構築,RAG構築,FY2023,競争・公募,2023-10-18,,,,,,,,,,,○
N17487902,入札中,デジタル庁,国,東京都,行政における生成AIの適切な利活用に向けた技術検証の環境整備,③PoC,,FY2023,競争・公募,2023-10-18,2023-11-17,,,,,,,,,,○
N17487168,入札中,独立行政法人新エネルギー・産業技術総合開発機構,独法,神奈川県,ポスト5G情報通信システ厶基盤強化研究開発事業／生成AI基盤モデルの開発のあり方に関する調査,④構築,生成AI（その他）,FY2023,競争・公募,2023-10-18,2023-11-17,,,,,,,,,,○
R23110318,落札結果,日本政策金融公庫,その他,東京都,業務照会チャットボット及びサービスデスクチャットボットに係る保守並びにクラウドサービスの調達(一式),⑤運用,,,,,,2023-10-12,株式会社NTTデータ,4565000,4565000,4565000,,,,,○
R23022078,落札結果,独立行政法人情報通信研究機構,独法,東京都,MCF及び生成AI関連技術に関する動向調査,④構築,生成AI（その他）,,,,,2023-10-12,アルサーガパートナーズ株式会社,6545000,6545000,7494300,,,,,○
N17458265,入札中,国土交通省/大阪航空局,,大阪府,隠岐RAG局舎改修外1件実施設計,,,,競争・公募,2023-10-11,2023-11-22,,,,,,,,ノイズ,,
N17455266,入札中,その他熊本県市町村/苓北町,市区町村,熊本県,苓北町オンライン申請用ＡＩチャットボット導入業務委託【苓北町】,④構築,チャットボット,FY2023,競争・公募,2023-10-11,2023-11-06,,,,,,,,,,○
N17452022,入札中,その他,その他,全国,【米軍案件】REMOVABLE STORAGE,④構築,RAG構築,FY2023,競争・公募,2023-10-10,,,,,,,,,,,○
N17445656,入札中,独立行政法人海洋研究開発機構,独法,神奈川県,ＡＩチャットボットを採用したＦＡＱサービスの更新,④構築,チャットボット,FY2023,競争・公募,2023-10-06,2023-11-16,,,,,,,,,,○
R23367875,落札結果,東京23区/渋谷区,市区町村,東京都,生成AI利活用実証実験支援業務委託【渋谷区】,③PoC,,,,,,2023-10-06,株式会社日立システムズ,7425000,7425000,,,,,,○
N17421033,入札中,国土交通省/四国地方整備局,その他,香川県,令和５年度　チャットボットサービス導入作業,④構築,チャットボット,FY2023,競争・公募,2023-10-02,2023-11-01,,,,,,,,,,○
R23446288,落札結果,独立行政法人国際協力機構,独法,東京都,LOCAL INTERNET SERVICES (100MBPS) JFY2023-2025 - JICA NICARAGUA OFFICE,④構築,RAG構築,,,,,2023-10-02,Equipos y Sistemas， S.A. （IDEAY）,1315476,1315476,,,,,,○
R23293242,落札結果,岩手県市町村/一関市,市区町村,岩手県,一関市AIチャットボット導入業務【一関市】,④構築,チャットボット,,,,,2023-09-29,合同会社EasyDialog,,,,,,,,○
R22879914,落札結果,独立行政法人宇宙航空研究開発機構,独法,東京都,戦略的海外共同計画Dragonfly地震計の計測回路部（アナログ部）の製作,④構築,RAG構築,,,,,2023-09-29,株式会社エンベデッドテクノロジー,,,,,,,,○
N17400832,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2023,競争・公募,2023-09-27,,,,,,,,,,,○
N17400831,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2023,競争・公募,2023-09-27,,,,,,,,,,,○
N17393137,入札中,沖縄県市町村/南城市,市区町村,沖縄県,南城市生成AI（chatGPT）連携システム導入事業に係る情報提供依頼（RFI)【南城市】,②設計,,FY2023,競争・公募,2023-09-26,2023-10-12,,,,,,,,,,○
R22833765,落札結果,大阪府,都道府県,大阪府,令和５年度ＬＩＮＥを活用した応答システムにおけるＡＩチャットボット導入など業務,④構築,チャットボット,,,,,2023-09-26,エヌ・ティ・ティ・コミュニケーションズ株式会社,6143500,6143500,,,,,,○
R22819978,落札結果,国立大学法人,独法,新潟県,仮想病院アプリケーション及びVR用 Chat GPTの作成、VR既存コンテンツの統合,④構築,AI（その他）,,,,,2023-09-26,クロスウィルメディカル株式会社,5773240,5773240,,,,,,○
